"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err","wilcoxon.model","wilcoxon.p_value"
"lm",2272.83579855334,9.87069957395131e-34,9.94594199607988,14.7572207947071,146.7744620475,"anova",1.52187470365499e-34,0.414771096251049,0.0276105188666064,"tweedie",2260.3574806583,4.92690526268176e-36,0.027094117024351,15.509374305919,0.420212802419032,0,1.5,"quantile_regression",2283.22909803154,0,136.944043656493,121.769245935321,170.677880842778,13.8045129024705,"wilcoxon",6.29785536492387e-26
"lm",2261.08591709348,6.68527531627001e-24,9.65803223160409,11.5423812218145,111.476689869746,"anova",2.9805049463923e-24,0.327973115096337,0.0281316631360333,"tweedie",2257.08829467348,2.20824102437505e-24,0.0280329416070155,11.7015630582673,0.328029233923217,0,1.5,"quantile_regression",2262.97171899804,0,115.507915929171,94.7687729178114,127.239392287565,11.4023778457582,"wilcoxon",1.01022483935633e-20
"lm",2272.90383545069,3.71304978236057e-27,9.94763386754959,12.6134471489778,125.473954045719,"anova",4.83262961333345e-27,0.364770117928831,0.0290052801222927,"tweedie",2261.6416271148,1.20057662691857e-28,0.0283554405084161,13.1003345420686,0.371465756747975,0,1.5,"quantile_regression",2277.83668203492,0,125.515756452361,110.298620584766,139.876730541321,10.4838579110573,"wilcoxon",1.35978076259587e-21
"lm",2227.32447731393,2.39771199848185e-39,8.87631350783127,16.5990157187729,147.338067441248,"anova",2.22043079990052e-40,0.428247766419065,0.0252784247861632,"tweedie",2234.73106857032,1.99079403953866e-40,0.0252550855511034,16.9569682292767,0.428249683317725,0,1.5,"quantile_regression",2228.94821510239,0,153.942077795886,142.554365224988,171.112563537517,10.9534424985991,"wilcoxon",3.37733207996701e-28
"lm",2261.83880992549,3.97397628102315e-32,9.67622800866585,14.2341674665012,137.733049919399,"anova",2.11806178893133e-35,0.398354489017394,0.0260326770058632,"tweedie",2244.52789214723,3.42103450493095e-34,0.0270895545225536,14.9073694767858,0.403833998229241,0,1.5,"quantile_regression",2260.9632804348,0,142.91697673912,122.418503404743,159.275095577649,12.797477203565,"wilcoxon",6.96970266522364e-27
"lm",2272.50605940199,1.55713011728906e-26,9.93774645834823,12.4095512069273,123.322973556332,"anova",5.28630165384336e-28,0.351507070991134,0.0272693350728276,"tweedie",2264.20887352486,3.46594186912315e-27,0.027846162454447,12.6232338467041,0.351508620395797,0,1.5,"quantile_regression",2290.00359265157,8.88178419700125e-16,121.371985994109,106.858131756817,141.114167731671,13.8728382868295,"wilcoxon",3.86606899199178e-22
"lm",2250.70592734793,1.86031369393982e-33,9.41063046082412,14.6674595224274,138.030041364661,"anova",4.0757462240716e-35,0.393933842747444,0.0259011105992131,"tweedie",2243.08119050032,1.18271310472513e-35,0.0259862875154723,15.3848799436916,0.399795913607794,0,1.5,"quantile_regression",2236.10976604148,0,131.123160235385,119.041584820025,147.465639890721,10.5756389084602,"wilcoxon",4.85665170497257e-26
"lm",2241.45942620407,1.1958638154366e-36,9.19558702258948,15.7108870973933,144.470829506158,"anova",4.91243279430916e-39,0.418134204599822,0.025347463402075,"tweedie",2235.77003679848,9.20683918477556e-39,0.0257521854393206,16.4060461173399,0.422491541939782,0,1.5,"quantile_regression",2232.33269259933,0,132.36134376893,116.194519140734,151.136188574408,11.013490818224,"wilcoxon",1.48780232567923e-27
"lm",2247.98890310292,8.83655228353903e-31,9.34692479027341,13.7954775377118,128.945290990898,"anova",2.33494650258124e-32,0.376540377374093,0.0263142038179727,"tweedie",2244.53875173518,7.75067747689356e-32,0.0266044718965558,14.1396772487955,0.37617864599195,0,1.5,"quantile_regression",2264.5360227723,1.86517468137026e-14,104.637426312712,92.684730264922,144.060034855222,12.6460769901619,"wilcoxon",5.67650782509531e-26
"lm",2268.08660092572,1.46272605895527e-33,9.82855214924117,14.7015107968006,144.494565538987,"anova",7.26472528837601e-35,0.420149616612772,0.0277745993387048,"tweedie",2256.672697993,5.56915469226347e-35,0.0277906859904985,15.1648354050811,0.421441178840202,0,1.5,"quantile_regression",2274.57507198951,0,132.429697250971,118.101144891531,156.725457005566,13.5121239415926,"wilcoxon",6.96970266522364e-27
