"p_max","L_max"
1.1,-1049.97049913773
1.1,-1054.64282157615
1.1,-1065.8513781285
1.24285714285714,-1061.8756667719
1.1,-1059.14690698293
1.21428571428571,-1056.9903516159
1.1,-1065.23191254463
1.1,-1048.13362684056
1.1,-1074.0078697152
1.21428571428571,-1061.17562731498
1.58571428571429,-1055.14960805712
1.32857142857143,-1055.77908222844
1.18571428571429,-1066.74327380984
1.24285714285714,-1068.52191697944
1.32857142857143,-1057.25097252637
1.44285714285714,-1069.38006761993
1.41428571428571,-1058.79946797747
1.41428571428571,-1064.25809511011
1.1,-1070.62775718007
1.1,-1056.81840377952
1.1,-1060.00966008676
1.38571428571429,-1068.14458202913
1.1,-1054.71210126711
1.47142857142857,-1057.43268965241
1.1,-1056.50289234299
1.27142857142857,-1052.30760290368
1.1,-1058.27079726774
1.12857142857143,-1050.80930720685
1.92857142857143,-1033.25223899422
1.35714285714286,-1038.84920125508
1.24285714285714,-1059.38681712835
1.1,-1062.78789558522
1.12857142857143,-1072.0589454783
1.15714285714286,-1064.60705156929
1.1,-1058.75847122108
1.21428571428571,-1074.66627433809
1.1,-1049.33942913178
1.1,-1048.66548331673
1.3,-1061.84854751969
1.35714285714286,-1055.46259057387
1.1,-1045.09067617349
1.1,-1070.26373394616
1.1,-1070.51919811038
1.12857142857143,-1075.5993887237
1.1,-1063.57059160522
1.44285714285714,-1062.18472471739
1.52857142857143,-1061.18330406316
1.24285714285714,-1074.69962996807
1.3,-1065.98631523878
1.38571428571429,-1076.88393244826
1.1,-1067.0846453485
1.24285714285714,-1061.96269925526
1.27142857142857,-1076.18020315321
1.32857142857143,-1078.38249245065
1.1,-1054.16264403905
1.1,-1055.81732597589
1.24285714285714,-1078.67871160721
1.18571428571429,-1064.26604724737
1.1,-1053.67141067462
1.41428571428571,-1053.93503062383
1.32857142857143,-1078.70119800482
1.15714285714286,-1051.05956435672
1.1,-1050.35105809747
1.1,-1051.22981755457
1.18571428571429,-1055.50468035455
1.35714285714286,-1070.90887228441
1.47142857142857,-1067.35656104973
1.32857142857143,-1074.33149237259
1.1,-1039.10499010792
1.3,-1071.34708084708
1.27142857142857,-1076.07589970174
1.1,-1073.48088847181
1.72857142857143,-1057.75264785408
1.1,-1047.47142638821
1.1,-1068.73757981369
1.1,-1076.06365220053
1.1,-1050.03347497003
1.5,-1065.41928089706
1.24285714285714,-1062.94782567075
1.1,-1060.91345971517
1.47142857142857,-1069.19140675124
1.1,-1062.53571401644
1.1,-1076.11355628312
1.5,-1062.87477805785
1.24285714285714,-1071.31918322368
1.1,-1048.92797366198
1.1,-1056.25055651214
1.1,-1054.33072805378
1.78571428571429,-1059.97560945109
1.32857142857143,-1068.93697774424
1.1,-1066.37459242923
1.27142857142857,-1063.88040625921
1.27142857142857,-1034.47720438995
1.3,-1074.75620290832
1.35714285714286,-1053.46721091776
1.32857142857143,-1071.34059010775
1.1,-1076.59216076864
1.35714285714286,-1074.35040439579
1.72857142857143,-1064.54859227763
1.55714285714286,-1044.81654902213
