"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err","wilcoxon.model","wilcoxon.p_value"
"lm",2570.5634389167,0.268159049717686,20.9362839793352,-1.11043331356424,-23.2483471928952,"anova",0.343013468102848,-0.104008639276531,0.109424378164066,"tweedie",2866.92662525092,0.269681079001263,0.0252195222584335,-1.10689778576701,-0.027915433345962,0,1.5,"quantile_regression",2326.45502593765,0.816634173076215,-1.95217181928695,-23.2195992695833,10.5572986030606,8.4078310464052,"wilcoxon",0.317035828451217
"lm",2555.15187463774,0.283655255819929,20.1449738106918,-1.07506202366118,-21.6570963115238,"anova",0.122497651258899,-0.131996368032877,0.0851038271965094,"tweedie",2769.60619792262,0.285771851880579,0.0242911237839693,-1.0703343385341,-0.0259996239075648,0,1.5,"quantile_regression",2331.41505482321,0.756477687471543,2.80075474023101,-9.57644838825799,10.7592660015879,9.01900881294769,"wilcoxon",0.983430081941901
"lm",2492.46237778132,0.314920104159201,17.222748143156,-1.00750854783992,-17.3520659715237,"anova",0.713042030877541,-0.0214548069868292,0.0582534087268281,"tweedie",2641.03609867968,0.315504085309298,0.0205674527856846,-1.00629037638534,-0.0206968298049943,0,1.5,"quantile_regression",2293.93124648292,0.186001060733318,-11.64790958427,-25.7469341336952,3.34515454303295,8.77690748238868,"wilcoxon",0.176242354083255
"lm",2630.14530026807,0.0509460434224533,24.2990774031744,1.963859781128,47.7199808306105,"anova",0.0463223395113081,0.217432865890162,0.108444011516402,"tweedie",2998.31163905603,0.0542018594673256,0.0297929758137103,1.93672780669469,0.0577008847025952,0,1.5,"quantile_regression",2386.77699636445,0.90343231294327,0.971312025514067,-7.95078015724316,14.118631199075,7.99550914156099,"wilcoxon",0.648611455827235
"lm",2685.9294285444,0.503350184140745,27.9355117866791,0.670453195430964,18.7294531433784,"anova",0.299812975890586,0.100302405094608,0.0964856086812204,"tweedie",3072.82472620668,0.50419310045618,0.0343680265686422,0.669128272761075,0.0229966182560823,0,1.5,"quantile_regression",2485.20122400364,0.909151643590774,1.26428558960492,-17.3600192377009,19.1499570431449,11.0654992205697,"wilcoxon",0.811702387176632
"lm",2600.92464739799,0.00600351191014129,22.5872762625385,2.77754908760603,62.7372685745192,"anova",0.0280474010243832,0.210260384057866,0.0950160107260474,"tweedie",2889.82800402617,0.0070474428190487,0.0279175269181137,2.72297574316275,0.0760187486071167,0,1.5,"quantile_regression",2360.60027256567,0.193300523189364,11.618645989949,-0.262261299054519,27.5874926613309,8.90103107788693,"wilcoxon",0.00896976354967937
"lm",2626.25802385908,0.117404554573934,24.0640780610538,1.57261500294083,37.8435301907525,"anova",0.241753561018741,0.139448438275091,0.118767543097963,"tweedie",2993.64366835925,0.120407382764712,0.0294441391020996,1.55978595826802,0.0459265547247455,0,1.5,"quantile_regression",2393.80753212263,0.368958790811792,7.40918349419997,-6.49717092907403,17.0020311577055,8.22803776959618,"wilcoxon",0.517309495755692
"lm",2648.25469762931,0.497158696129092,25.4244644063203,0.680221667345702,17.2942715698387,"anova",0.2218404412028,0.152218347764099,0.124208594038417,"tweedie",3078.80674938067,0.497984083104408,0.0311247635823208,0.678915687188928,0.0211310902560842,0,1.5,"quantile_regression",2419.74727273103,0.86899970534488,1.42808780365897,-12.0999350685926,19.1218549960687,8.64756926118134,"wilcoxon",0.662731590311878
"lm",2609.16419330056,0.614750098300018,23.0573736252249,-0.504102097689277,-11.6232704116813,"anova",0.259413653914392,-0.113976535095742,0.100772996049904,"tweedie",2877.38825342465,0.61514575291816,0.0280788663629383,-0.503538087519657,-0.014138778668114,0,1.5,"quantile_regression",2405.31627333267,0.830745899738784,-1.847777729668,-16.5254139057058,8.63348551427642,8.63336820296433,"wilcoxon",0.620751011523973
"lm",2440.99050263443,0.342995522136849,15.1431970059507,-0.950542441970333,-14.3942514612742,"anova",0.367436989757351,-0.0503021044695434,0.0556838562625407,"tweedie",2579.21345075974,0.34381091070401,0.0180551293370193,-0.948934084754773,-0.0171331276325534,0,1.5,"quantile_regression",2254.79574694556,0.887206573371846,-1.02805274636694,-13.142238904299,11.6804352198561,7.23865684171718,"wilcoxon",0.555138078405065
"lm",2693.24359755497,0.326993351473854,28.4510232318425,0.9826206127206,27.9565618806011,"anova",0.297179105350403,0.155141653851677,0.148424564934793,"tweedie",3318.75367994411,0.328624427225555,0.0353912268468039,0.979304821086272,0.0346587990752329,0,1.5,"quantile_regression",2462.81148207974,0.423206013260844,-7.65008653645191,-21.7321103106843,5.73847986024596,9.53240724133048,"wilcoxon",0.963945733105864
"lm",2609.06424988013,0.215421196823022,23.0516132629269,-1.2427730734149,-28.6479242619394,"anova",0.377596167290662,-0.109367326403221,0.12367395505977,"tweedie",2977.28916250739,0.216453259917092,0.0279366783102151,-1.23997197972423,-0.0346406983112364,0,1.5,"quantile_regression",2373.57278941571,0.0738206062012556,-15.126048141508,-35.8789453513446,-4.1552515502425,8.41624144450932,"wilcoxon",0.00493695357800483
"lm",2630.20904714288,0.513581651764544,24.3029501873766,-0.654449605953717,-15.9050561736414,"anova",0.131518056009893,-0.182423076394073,0.120458651706739,"tweedie",2980.10616178761,0.514349050654731,0.0297222349818557,-0.653256076048533,-0.0194162305956395,0,1.5,"quantile_regression",2401.74645449355,0.553215075866236,-4.74945132405696,-15.1711437717706,12.7721093927481,7.9962118974108,"wilcoxon",0.514941024989482
"lm",2639.49627245901,0.750164643478732,24.8738192145339,-0.318865482687304,-7.9314023701191,"anova",0.652079886151237,-0.0462706779120423,0.102468402522167,"tweedie",2969.55554774544,0.750181283112982,0.0303523775372359,-0.318843507386138,-0.00967765851148053,0,1.5,"quantile_regression",2388.1098742106,0.142721478555647,-8.96905697115801,-17.8064942977014,2.42238403517802,6.09484176014559,"wilcoxon",0.0860740986681191
"lm",2657.49231930484,0.933262473570979,26.0184507420971,0.0838473987488385,2.18157941419963,"anova",0.683455832476342,0.0547298699013448,0.1340258926256,"tweedie",3116.21803103569,0.933266182129288,0.0319170067067401,0.0838427284182173,0.00267600892523563,0,1.5,"quantile_regression",2434.98260126213,0.987684960368002,0.131711142953009,-7.34735448834706,12.452046165603,8.5223828754687,"wilcoxon",0.5959624649848
