"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err","wilcoxon.model","wilcoxon.p_value"
"lm",2183.6653204377,5.2904711004446e-41,7.95848323316503,17.1481682141219,136.473409211583,"anova",4.32872996693707e-41,0.400616842260759,0.0233226574624781,"tweedie",2219.27705609442,2.22430748285244e-40,0.0233121482615833,16.9409848945123,0.394930751558115,0,1.5,"quantile_regression",2204.08686957857,0,134.688480550624,119.755692488527,151.894013181061,12.2509760263692,"wilcoxon",6.21315368814179e-29
"lm",2166.91301787462,1.60528616953239e-44,7.63205909135937,18.3269609307927,139.872448788845,"anova",4.39834410790747e-44,0.414442199638106,0.0227975292070054,"tweedie",2212.96594036594,5.27450906993984e-43,0.0228241511682177,17.8165143505684,0.406646816828092,0,1.5,"quantile_regression",2188.38593579099,0,135.141991677523,123.974052871699,159.726858625161,10.2758922865855,"wilcoxon",1.3203949865032e-29
"lm",2186.03662560237,1.20609291439815e-41,8.00580333857653,17.3619973896574,138.996736666476,"anova",7.28171887017498e-40,0.41093066297555,0.0245035343668583,"tweedie",2228.77678194644,2.05781063369828e-39,0.0239800938347509,16.6209654238567,0.398572310488235,0,1.5,"quantile_regression",2214.11041767041,0,145.484090076334,129.55456720229,163.750967895293,13.0272571955632,"wilcoxon",3.68137612654401e-29
"lm",2165.97306247224,3.49471324684614e-39,7.61414565895159,16.5449442685502,125.975615579978,"anova",5.37055320213822e-38,0.361423870821301,0.0223741324509593,"tweedie",2218.50107681153,1.79379101189806e-38,0.0217927649435899,16.3105208523079,0.355451347041866,0,1.5,"quantile_regression",2181.03720081038,0,122.396190959441,115.148831128986,136.765912260718,11.0794094777404,"wilcoxon",1.57668413314104e-28
"lm",2195.9753522158,7.41758225467616e-35,8.20721390921438,15.1241624425925,124.127236364063,"anova",1.26984132968358e-34,0.36683906549517,0.0243781041287669,"tweedie",2224.45320141315,1.31941750321171e-34,0.024071619693871,15.0424593486939,0.362096360702274,0,1.5,"quantile_regression",2203.93748972976,0,123.663852819826,113.852493925442,138.311615919401,9.2985756964365,"wilcoxon",2.46438734130103e-26
"lm",2176.79769961862,1.0237844221293e-39,7.82300992232103,16.72126913025,130.810654319746,"anova",2.01947740981627e-40,0.381771707309969,0.0225168865244459,"tweedie",2210.92136943388,1.26695038344594e-40,0.0223964878477294,17.0221236312579,0.381235785050015,0,1.5,"quantile_regression",2177.09737091126,0,126.190972774548,112.48087960691,137.79199393764,9.28695260308549,"wilcoxon",4.22587394560994e-29
"lm",2165.15805497536,4.79282162594788e-50,7.59864748873342,20.2207292095432,153.650193228454,"anova",1.82965429489879e-47,0.451688183201205,0.023368900240888,"tweedie",2218.19574414004,1.49777187781293e-47,0.0227963914707564,19.3584244483535,0.441302221981729,0,1.5,"quantile_regression",2191.06746496204,0,157.040598421997,141.406109783554,176.293950493927,10.5539217019549,"wilcoxon",3.27912864632022e-31
"lm",2199.91052441381,7.52714516850237e-45,8.28835438194675,18.4381529223766,152.821945569184,"anova",7.08632215400584e-45,0.435509124982332,0.0236086428800331,"tweedie",2229.42599911088,9.73593462920053e-45,0.023419073743014,18.400356629191,0.430919308796781,0,1.5,"quantile_regression",2210.47821252894,0,144.264497341825,134.314633461756,167.811433738238,10.7402473466032,"wilcoxon",3.0825705878004e-30
"lm",2169.49577610487,3.3462249908876e-43,7.68149793891257,17.8828261325608,137.366892079198,"anova",7.12754723614314e-43,0.404458669751436,0.0227573360236871,"tweedie",2214.16809598401,4.01336942423029e-42,0.0226756904314157,17.5214971152083,0.397312044479408,0,1.5,"quantile_regression",2179.09598962576,0,137.908320461527,123.807846697857,152.138801664962,9.79282529612486,"wilcoxon",6.21623200801153e-30
"lm",2212.83860772163,7.26248303907061e-32,8.56061172937335,14.148879278375,121.123061907945,"anova",4.67616529884067e-30,0.362371296765684,0.0267239505651055,"tweedie",2239.71874536146,4.10228249552936e-31,0.0253804302842932,13.904003816198,0.352889599529561,0,1.5,"quantile_regression",2227.47176884552,0,115.576081667949,100.575555685319,132.937480780918,9.53655127703586,"wilcoxon",6.68968046425216e-25
"lm",2177.34184107172,5.2874418341091e-44,7.83365922405367,18.1523139860051,142.199041894387,"anova",3.06768102351715e-45,0.416080825483169,0.0224058751854466,"tweedie",2212.13436781865,4.20340704680473e-44,0.0227084776351994,18.1858959082227,0.412974010507939,0,1.5,"quantile_regression",2188.03979855405,0,140.134272045774,126.916802790147,150.639253942132,10.0130249197004,"wilcoxon",3.75290133159241e-30
"lm",2168.64828064844,8.08133818680662e-39,7.66524008156509,16.4247311025741,125.89950717638,"anova",1.02649710237088e-37,0.369425984453273,0.0230013140406238,"tweedie",2218.86025414165,3.39813629858925e-37,0.0227036324671456,15.8902215002894,0.360765748764106,0,1.5,"quantile_regression",2184.66033230956,0,130.617973433261,117.489173711622,143.936378990063,9.14436500796144,"wilcoxon",3.22820515525388e-27
"lm",2180.13447120204,5.28935507452957e-39,7.88854186672928,16.4854948372848,130.046516217671,"anova",1.56179411829276e-38,0.380523680030497,0.023301625036522,"tweedie",2219.07639605933,1.96340388486679e-38,0.0230065564024814,16.2975875845719,0.374951367988833,0,1.5,"quantile_regression",2191.35484961508,0,131.818339105178,117.044601649452,146.240584892834,10.827151827353,"wilcoxon",2.50521921157179e-28
"lm",2210.01251908044,6.92142408125281e-37,8.50034226970008,15.788796079033,134.210170698279,"anova",6.89634514783565e-37,0.392126158051602,0.024834908773843,"tweedie",2234.54736863311,3.94467116184302e-36,0.0247304909984167,15.5410011507398,0.384336589064755,0,1.5,"quantile_regression",2214.95865614959,0,135.325194636517,124.292073379792,155.01802792206,9.90637748470584,"wilcoxon",1.94444218952969e-27
"lm",2181.64530015738,1.18930889568365e-36,7.91839380136774,15.7116699591195,124.411190013427,"anova",7.69765328964143e-36,0.368141171751994,0.023834192919983,"tweedie",2220.07632216684,5.79371606535631e-36,0.0233758875001797,15.4863264523907,0.362006624942143,0,1.5,"quantile_regression",2203.18350820055,0,129.149941841232,116.750221193696,146.432323413324,10.882523054508,"wilcoxon",8.8411398387647e-27
"lm",2142.27982046412,5.37324215960205e-47,7.17623364296669,19.1683303671737,137.556417260412,"anova",5.52999834099525e-46,0.405675779451162,0.0215522724490646,"tweedie",2203.76442505073,1.88854615022496e-45,0.0213916101553376,18.6416219680921,0.398774309804603,0,1.5,"quantile_regression",2159.12587109616,0,142.062256337792,120.18603287263,150.987948790894,9.13916150509319,"wilcoxon",1.02447826916912e-30
"lm",2188.20774864187,7.7836635212275e-40,8.0493754422962,16.7606739523783,134.912957308607,"anova",2.93726230971542e-40,0.399707975658839,0.0236500570161921,"tweedie",2224.35080746919,9.58262087749436e-38,0.0241881261110644,16.0709071838875,0.388725129683083,0,1.5,"quantile_regression",2185.01474918195,0,140.435852699654,123.069607895403,150.015814890772,10.0648283305315,"wilcoxon",4.71840592552527e-29
"lm",2187.2473905601,6.5112696271674e-38,8.03007291634112,16.1261189547853,129.493911064517,"anova",1.84926449602255e-37,0.382098461488234,0.0239154810609729,"tweedie",2226.56930426288,4.61336338815341e-36,0.0239427811309827,15.5187265530008,0.371561473290068,0,1.5,"quantile_regression",2199.46567519789,0,129.471610702169,113.292116446265,149.046513255427,10.2226878803335,"wilcoxon",3.49654665296251e-27
"lm",2197.76795463329,1.24059894088456e-38,8.24407712762235,16.3633215763249,134.900485139309,"anova",4.30135436745846e-39,0.39942759935848,0.024185527041394,"tweedie",2228.06622692577,4.18986167347496e-37,0.0245772794081354,15.8603524944143,0.389804314766739,0,1.5,"quantile_regression",2214.11790063,0,141.45272438996,121.988415958688,155.577198044184,11.2331732455898,"wilcoxon",3.40472859881516e-27
"lm",2156.89528298021,1.06204339784699e-45,7.44329285864048,18.7265073567559,139.38687847582,"anova",3.74280865528264e-45,0.416185429685179,0.022446897566013,"tweedie",2205.46154698287,8.02758437972689e-45,0.0222639116105636,18.4286958906875,0.410294856408223,0,1.5,"quantile_regression",2174.23365435261,0,140.486168438034,126.14700851741,155.927473409569,8.96337947834345,"wilcoxon",1.399056893421e-30
"lm",2176.46298985228,1.16315982954981e-39,7.81646656580151,16.7029235564625,130.557843530228,"anova",3.01290883810094e-39,0.39213420888964,0.0236706938691757,"tweedie",2215.26583077441,1.42075969382026e-38,0.02351697169928,16.3439018223635,0.384359076612334,0,1.5,"quantile_regression",2196.78103166586,0,129.899549663783,119.259010347652,143.196253001864,11.0934985732028,"wilcoxon",1.23304363400315e-28
"lm",2166.06999646657,5.02761487562819e-39,7.61599105642498,16.4927727810344,125.608809996007,"anova",3.74239750804577e-39,0.371270644350696,0.0224534599971929,"tweedie",2209.79022867089,1.223302049701e-38,0.0223823998550665,16.3653326071604,0.366295418174622,0,1.5,"quantile_regression",2181.69750118943,0,113.529655400456,100.478207041903,131.137361441776,11.5769401493616,"wilcoxon",2.49994351775144e-29
"lm",2179.63525158974,7.5800231572347e-45,7.87870272084389,18.4371243462214,145.260621751111,"anova",3.6229682351567e-44,0.427128846843113,0.0234587516927007,"tweedie",2219.76801751787,1.45984677030591e-43,0.023286607854891,18.0038571158846,0.419248760533093,0,1.5,"quantile_regression",2203.03868282176,0,137.6176361714,120.813192244785,162.197169014714,10.2818678034174,"wilcoxon",4.44133114575028e-30
"lm",2192.5014800179,1.43442132877768e-42,8.1362454937253,17.6709290670363,143.775016991614,"anova",7.28700995924203e-44,0.431106874421193,0.0238109652860242,"tweedie",2217.65443155098,7.74803310987049e-42,0.0243664183997152,17.4261064543978,0.424611800945835,0,1.5,"quantile_regression",2187.03832742689,0,138.065117267822,126.099888073043,154.460208641064,8.79654409485371,"wilcoxon",9.71932585522846e-30
"lm",2163.87599348222,3.13936895297548e-39,7.57433164419654,16.5603314519696,125.433442555037,"anova",1.04962602798474e-39,0.368588568752887,0.0220478224528984,"tweedie",2206.42418518843,1.0019677380702e-39,0.0219085532490639,16.7243655691828,0.366406653629252,0,1.5,"quantile_regression",2179.73060408655,0,104.913352233536,96.3970666979022,123.88511997345,9.82777083300305,"wilcoxon",5.25492486782865e-30
