"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err","wilcoxon.model","wilcoxon.p_value"
"lm",2766.90255604202,1.20519957484591e-11,34.203621220822,7.20272687864624,246.35934191425,"anova",6.25502482431502e-12,0.865777573011717,0.118355124796194,"tweedie",3759.789387582,3.65429595528229e-10,0.083743818658313,6.60134610552613,0.552821931161941,0,1.5,"quantile_regression",2802.45720448806,1.37185387494299e-07,331.498670372253,253.849927719479,414.120419735252,60.6419709443787,"wilcoxon",9.25495765131251e-11
"lm",2776.63391666946,1.48033572016952e-05,35.0459453070951,4.44209437221654,155.677396417656,"anova",3.54069746529155e-08,0.612254720770134,0.106693009644581,"tweedie",3730.16714279662,3.94214494523678e-05,0.0794858817482342,4.20563523586473,0.334288625034151,0,1.5,"quantile_regression",2826.48798983275,0.00110059343644142,228.274119942926,124.253014764934,291.355564433447,68.920905248376,"wilcoxon",1.95628960513282e-05
"lm",2777.7330257383,1.40695500573256e-09,35.1423760220466,6.35469832673688,223.319198104858,"anova",3.98565923259774e-11,0.731975389676926,0.104638379440121,"tweedie",3712.48108244994,1.73085432152652e-08,0.0801663288965744,5.87877697736112,0.471279968676741,0,1.5,"quantile_regression",2809.22901374129,2.85803336552704e-09,358.714315984161,309.390266671457,412.099236859357,57.6465399059366,"wilcoxon",5.75184149925467e-09
"lm",2746.01277085589,8.3177689775607e-11,32.4631973720729,6.86594904808308,222.890659094517,"anova",1.21450904634322e-12,0.75486532136316,0.0994300106112317,"tweedie",3587.04539110972,1.59990462454753e-09,0.0811065660771191,6.33088022358188,0.51347595518027,0,1.5,"quantile_regression",2781.85085996658,6.46017652705666e-08,304.371369167614,215.243186907071,386.996107800051,54.1700924238721,"wilcoxon",1.93705936095317e-10
"lm",2771.02669844897,8.30094888868888e-11,34.5580969781604,6.86630682773775,237.286497234766,"anova",2.89340957427645e-11,0.803768603014288,0.113990871846366,"tweedie",3768.42035228115,1.42794459307252e-09,0.0789047541269365,6.35195670313397,0.501199581885733,0,1.5,"quantile_regression",2816.4840612635,1.88806038803335e-07,310.654687549947,227.129710465917,434.404170234235,57.5178334191602,"wilcoxon",8.4321586921596e-10
"lm",2786.02742249727,2.38829790413097e-09,35.8786958237563,6.25626984374757,224.466802715158,"anova",1.41279898936727e-11,0.741801038492291,0.103381779279272,"tweedie",3792.02304681541,2.17261658211343e-08,0.0863149260090964,5.83445448177788,0.503600506898099,0,1.5,"quantile_regression",2826.60800885979,1.23419227726629e-07,340.665721728335,278.421618940488,436.635158393953,62.074098978492,"wilcoxon",2.29656545367774e-09
"lm",2780.96087663228,7.94114349603467e-08,35.4271091968621,5.57734157418462,197.589088976837,"anova",3.823778676289e-10,0.775679563521135,0.117649443026818,"tweedie",3841.82270984114,4.40825600749874e-07,0.0863358393371279,5.22447934486437,0.451059809338354,0,1.5,"quantile_regression",2823.86499924641,0.000101345316886103,233.053729076208,158.512969597013,343.140594004364,58.7350823165158,"wilcoxon",2.73684756179104e-08
"lm",2776.80033836427,1.62905351612324e-11,35.0605293547972,7.15077737787294,250.710040166534,"anova",3.00724770802811e-13,0.91327148527909,0.116732398902284,"tweedie",3858.74657080931,1.18356381365113e-09,0.0834697750126308,6.38665510189435,0.533092664438392,0,1.5,"quantile_regression",2812.1993625317,1.33924138445707e-09,365.843600424478,279.46954854384,465.472473213876,57.4880038245808,"wilcoxon",6.79545069246074e-10
"lm",2734.97681942036,3.55497555193658e-18,31.5797843640144,9.60537685908817,303.335729945098,"anova",7.30581073815636e-18,0.999180501032718,0.105217101252819,"tweedie",3577.57787085619,5.62866447024235e-15,0.0815140957219719,8.46655102457736,0.690143250652358,0,1.5,"quantile_regression",2758.82227760133,0,409.317487621637,365.597055035295,480.302467854211,43.2962551254823,"wilcoxon",8.13268032207975e-16
"lm",2750.88222911721,8.31343812760028e-13,32.8608081093629,7.65519791251786,251.555989642445,"anova",2.64248996829248e-13,0.827971490655819,0.105542360318021,"tweedie",3631.83457795038,3.93890401477288e-11,0.0804410907994631,6.99734936754353,0.562874415830135,0,1.5,"quantile_regression",2782.19288194788,2.46979769968902e-10,319.581159891224,245.578855602506,408.073679828952,47.8989661253298,"wilcoxon",1.16837283482616e-11
"lm",2768.43918458269,2.586762397568e-07,34.3352695786054,5.3359336062021,183.210718822489,"anova",2.02872044523989e-08,0.60708179739281,0.103813013919324,"tweedie",3628.21541665622,8.87532048113672e-07,0.0773014200883337,5.07560098972952,0.392351164307844,0,1.5,"quantile_regression",2813.76616096977,3.50792434677949e-06,264.637158379006,141.147510487069,363.366604303318,55.4352267711172,"wilcoxon",3.38624411994147e-07
"lm",2725.5815812726,4.15650725297122e-14,30.8466787085525,8.14642312670867,251.290096813504,"anova",3.94994933002138e-13,0.789193738342269,0.101456436390794,"tweedie",3459.05159891071,3.48250978978498e-12,0.0733652008940822,7.41462745988303,0.543975633149097,0,1.5,"quantile_regression",2754.29889932195,5.88418203051333e-13,349.601730333548,256.253676663493,415.38141547492,45.3285388853586,"wilcoxon",2.24046892884991e-12
