"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err","wilcoxon.model","wilcoxon.p_value"
"lm",2156.66628246976,1.14184394780712e-11,7.43903278354592,7.21201408515953,53.6504092148967,"anova",7.44184297470403e-12,0.179760801345812,0.0246740753083988,"tweedie",2189.00198218289,1.41128327325748e-11,0.0244754161105496,7.17554075509194,0.175624345799082,0,1.5,"quantile_regression",2178.92413266531,8.80530865110529e-07,50.61898057282,41.4599478822657,71.5976838359558,9.9696593113445,"wilcoxon",1.01980782881781e-10
"lm",2185.35045646928,4.14210023994649e-11,7.99208177324327,6.98855146057347,55.8530747494219,"anova",1.94945626104316e-11,0.189958660085649,0.0266806154494711,"tweedie",2203.73418413438,5.29460260311063e-11,0.0263725651629144,6.9455237035215,0.183171276461688,0,1.5,"quantile_regression",2189.13327664516,2.37787198598127e-07,49.776920690213,29.5514242763528,66.0255023328655,9.29820325616088,"wilcoxon",8.67416602342263e-11
"lm",2150.24141559913,1.58520542070051e-08,7.32050028809406,5.89585759849771,43.160627248364,"anova",1.4515406535467e-08,0.142490956536623,0.0240981473484125,"tweedie",2190.10696311544,1.75902052190729e-08,0.0235447049989596,5.8756368031819,0.138340135211948,0,1.5,"quantile_regression",2160.46108303144,1.65528696465245e-05,40.929630676595,25.5426565603255,61.1310429903529,9.26932029393909,"wilcoxon",3.87615482013068e-08
"lm",2112.94116840301,4.14496215932389e-16,6.6687207705833,8.87638955580847,59.1941633986087,"anova",1.36109464760279e-16,0.196688094068116,0.0217359608686079,"tweedie",2169.49217991132,6.33107174478316e-16,0.0218568716410281,8.81038936262209,0.192567549406311,0,1.5,"quantile_regression",2110.34317278313,1.06344710815165e-10,52.534926218213,41.5188218938508,63.059564656003,7.70031304847981,"wilcoxon",4.19417491726388e-16
"lm",2178.82841352994,2.98195925416243e-14,7.86282664496192,8.19999156490595,64.4751121650055,"anova",1.48128004589381e-14,0.209891085645358,0.0252505866144387,"tweedie",2200.94078972915,3.25811576816754e-14,0.0253419950906354,8.18572107658032,0.207442503336009,0,1.5,"quantile_regression",2194.52486281081,5.92181859104812e-11,66.139492727309,52.6782743064419,81.8847478434684,9.54965700007999,"wilcoxon",3.27639942530321e-13
"lm",2150.43237509173,1.903388182828e-10,7.32399591998429,6.71870984324044,49.2078034794513,"anova",4.89708481963523e-11,0.165388576867288,0.0237653896751806,"tweedie",2188.25057622998,2.81442276039867e-10,0.0238559455553744,6.64848225023781,0.158605830587546,0,1.5,"quantile_regression",2167.47949906939,1.3000215166592e-06,48.531174332252,36.1088627799647,67.5777284125678,9.71966647069623,"wilcoxon",1.41735621873698e-09
"lm",2183.40543882642,2.34756398333416e-13,7.95331425388528,7.86437940739133,62.5478808387673,"anova",7.94842619193835e-14,0.210015682824772,0.0261169120389229,"tweedie",2205.55384686856,3.95212961774456e-13,0.025954162798354,7.77855517385925,0.201885887318322,0,1.5,"quantile_regression",2211.43218861148,9.83246532237914e-06,53.597558320718,35.3618366338029,71.744294624613,11.810425968437,"wilcoxon",1.7507715457736e-11
"lm",2161.50484319572,9.91297758825391e-09,7.52956476491563,5.9865423859423,45.0760586128651,"anova",3.96668656496161e-09,0.149215441103529,0.0242194326727394,"tweedie",2190.39375536715,1.03130188704375e-08,0.024447398054271,5.97893449656178,0.146169391577858,0,1.5,"quantile_regression",2168.07259813863,8.31868498469834e-05,33.604380023628,26.6163635129255,61.8774512701324,8.36248581245733,"wilcoxon",2.81449602807338e-08
"lm",2153.04220414544,1.93807206637632e-09,7.371938094362,6.29523940538468,46.4081151856841,"anova",2.43778781436631e-09,0.152589794979754,0.024404857619577,"tweedie",2182.30087810267,1.5345911088973e-09,0.0243755183535428,6.3386109114833,0.154506926608828,0,1.5,"quantile_regression",2168.67237322425,9.69891381874532e-07,42.754023609752,33.3464566946048,57.4088710690796,8.45525517554458,"wilcoxon",1.51275683963814e-08
"lm",2138.55479373804,1.19062767413585e-11,7.10971469946905,7.20481954849347,51.224211450946,"anova",6.8052574129127e-12,0.173644939378845,0.023784722563466,"tweedie",2184.04687541628,2.07046628890199e-11,0.0233700767530917,7.10929360698373,0.166144737255474,0,1.5,"quantile_regression",2160.71090014263,1.02064428790793e-05,48.713729029624,31.1856935120374,61.074429298098,10.7548781545015,"wilcoxon",1.03641440821119e-10
"lm",2163.04838279836,2.16119050174625e-09,7.55867635091187,6.27492984487726,47.4301638221048,"anova",6.72769740614138e-10,0.162480771589648,0.0250340650477757,"tweedie",2189.44306178426,2.74358948002347e-09,0.0252197360505126,6.23031293936624,0.15712684784291,0,1.5,"quantile_regression",2189.13847563053,2.21760156793316e-05,45.74740736781,34.0007406489516,64.8144392790838,10.5270981077647,"wilcoxon",5.58594187253085e-09
"lm",2139.53137133297,3.64069572696111e-14,7.12709387618442,8.16781576752841,58.2127897385543,"anova",2.25893087918331e-14,0.189162387580139,0.0229436270287037,"tweedie",2178.14155206858,2.69746119916953e-14,0.023145856895516,8.21613342971508,0.19016944859865,0,1.5,"quantile_regression",2153.42663398238,3.82641029972319e-10,60.874839422414,45.7975504194825,74.1116477765682,9.23322792169229,"wilcoxon",5.62737317086063e-13
"lm",2185.76602119998,1.43626777977452e-10,8.00038915608989,6.7690032933584,54.1546605457212,"anova",2.0278364929169e-10,0.175304519508942,0.0261361137449628,"tweedie",2205.19359817573,1.18538149596476e-10,0.0256549961223504,6.80316772163159,0.174535241518158,0,1.5,"quantile_regression",2182.03237182927,1.3325044623258e-08,48.38936192228,41.3676324003387,61.018741031371,8.16077306525727,"wilcoxon",2.57750593619649e-10
"lm",2173.39169975719,3.64998501268621e-11,7.75667979681316,7.01066178019341,54.3794585927164,"anova",8.45930523135755e-12,0.18589473084538,0.0255930535937088,"tweedie",2193.61655589209,4.6875203231131e-11,0.0259325824260897,6.96688851858763,0.180669410761652,0,1.5,"quantile_regression",2198.57698526067,4.43511271575048e-06,53.004877533268,39.3923220716547,69.8931224114435,11.2276153193146,"wilcoxon",4.53783135466109e-10
"lm",2130.13813967877,1.00728028614381e-12,6.96167760988543,7.62318866381235,53.0701818367949,"anova",7.34266681841654e-13,0.176575285405699,0.0230039553170001,"tweedie",2173.29628725488,9.15098954413271e-13,0.0229799912305621,7.63920091241284,0.175548769975749,0,1.5,"quantile_regression",2137.48922136204,5.3139150857362e-08,45.408175438522,42.403214849603,59.8660274638667,8.02567666163317,"wilcoxon",7.25784386512246e-12
"lm",2181.07050309227,2.47613109739483e-07,7.90702329919502,5.34500100832425,42.2630475070407,"anova",8.85007345071825e-08,0.137714101746911,0.0247888457071153,"tweedie",2199.10331837048,2.47997309863817e-07,0.0255260096461497,5.3446795630866,0.136428342082928,0,1.5,"quantile_regression",2193.93274051012,3.28483429168358e-06,49.225616166969,32.5111863526073,64.3774683479897,10.2798677913229,"wilcoxon",1.31675732876362e-07
"lm",2186.09446791891,1.96896827655599e-08,8.00696110781173,5.85367193344189,46.8701235089583,"anova",7.58068048143179e-09,0.159660202401208,0.0264427278219113,"tweedie",2205.67300220308,2.50112719710752e-08,0.02627999514536,5.80688844177708,0.152605000059549,0,1.5,"quantile_regression",2198.89777966532,5.39638422878408e-05,43.046779891595,31.2645578394963,61.5315639021983,10.4287285223994,"wilcoxon",4.15376720524402e-08
"lm",2202.89920782339,2.07817645127228e-08,8.35051448192511,5.84313699871026,48.7932001276024,"anova",1.46906591442812e-08,0.160452443066094,0.0271464812323526,"tweedie",2215.23230848997,2.2616300009482e-08,0.0270381821261882,5.82660239979451,0.157540736862529,0,1.5,"quantile_regression",2219.65068721541,2.01961585144517e-06,51.189141145761,29.8128818828561,65.3712315371568,10.4539272129488,"wilcoxon",1.95282487058573e-08
"lm",2179.32189780061,1.04058828948671e-11,7.87253308438056,7.22796879727843,56.9024234894449,"anova",1.31606677227814e-11,0.187826126713917,0.0261320476894225,"tweedie",2200.86659318222,1.03120880314641e-11,0.0257384823574609,7.22952349105243,0.186076962827302,0,1.5,"quantile_regression",2204.82993650807,6.61196444262657e-08,59.957516520808,45.4899036671384,80.5768738553225,10.6797086776397,"wilcoxon",1.62527134915007e-10
"lm",2167.12306167392,1.56531377552975e-10,7.63606781049557,6.7536595812815,51.5714025316686,"anova",2.55199755383612e-10,0.164118208598195,0.0246198304628179,"tweedie",2196.3473736445,1.23510011132968e-10,0.0242753651852894,6.79586443907098,0.16497209100817,0,1.5,"quantile_regression",2178.00744885673,1.15559722235758e-07,53.427652465614,39.7169585224247,65.6659736756081,9.71158284947938,"wilcoxon",1.06121327541952e-09
"lm",2159.50238376885,4.97721040118118e-08,7.49196483898992,5.67091034050562,42.4862608761324,"anova",4.05527577309905e-08,0.140386412213125,0.0245791137393217,"tweedie",2191.72945158837,5.43513399112831e-08,0.0243875411700508,5.65336202200563,0.137871599060864,0,1.5,"quantile_regression",2183.41364978452,0.000570308657379393,39.64514124822,29.5966299990189,61.1202860745419,11.3201471618826,"wilcoxon",1.16765036700277e-07
"lm",2167.3947481248,1.71157732942662e-10,7.64125611269082,6.73770736995075,51.4845476261582,"anova",1.27700538955639e-10,0.170786939201973,0.0251529738223362,"tweedie",2195.44521173596,1.8868767781751e-10,0.0248812205702072,6.72026928265432,0.167208502312911,0,1.5,"quantile_regression",2193.2256940983,0.000736218160914515,41.024102448968,30.3925517708359,68.0374475328764,11.9627740606173,"wilcoxon",2.43835313812213e-09
