"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err","wilcoxon.model","wilcoxon.p_value"
"lm",2127.4379715758,7.54759488299424e-10,6.91484161948373,6.46935215584951,44.734545538365,"anova",5.88026961584289e-10,0.181730825932376,0.0278943843597707,"tweedie",2140.39102673403,6.22541831364167e-10,0.027820734170217,6.50455676318426,0.180961544603636,0,1.5,"quantile_regression",2132.88158662768,3.90804014172019e-06,42.099899358935,22.6465453084698,52.2508345640332,8.86404730518228,"wilcoxon",4.89524080169023e-09
"lm",2061.37575299346,5.51151532149768e-10,5.86213876809613,6.52676215002991,38.2607854298327,"anova",4.8799316887454e-10,0.161933760059833,0.0247268445896991,"tweedie",2101.19421254496,4.87217524331416e-10,0.0247381538772358,6.54919426645246,0.162014975535412,0,1.5,"quantile_regression",2087.4172449274,2.71911588356488e-05,38.612125230048,24.8209392231092,53.8235297554361,8.98700740447951,"wilcoxon",3.28532503318427e-09
"lm",2132.28516065191,9.3662878999964e-07,6.99914524426781,5.0640194305327,35.4438075140927,"anova",1.07112553710695e-06,0.14033278016389,0.027871035782527,"tweedie",2142.35878701049,8.12837930417181e-07,0.0281208639054942,5.0944712521532,0.143260932752253,0,1.5,"quantile_regression",2138.03161917605,5.30269417500229e-05,37.492220916421,25.5383714636735,48.499936488042,9.07343564426815,"wilcoxon",8.88383318099447e-07
"lm",2147.51312877948,7.70379442885908e-08,7.27073912329995,5.58345084476604,40.5958145000626,"anova",2.88145728603592e-07,0.157898151532402,0.0297163728012397,"tweedie",2153.09994913716,5.26205759337966e-08,0.0290944151757215,5.65981857532126,0.164669111449658,0,1.5,"quantile_regression",2154.07096208319,3.57528327112888e-05,34.946363035841,24.2378625987041,49.6626010323104,8.2622223436527,"wilcoxon",2.82471634549345e-07
"lm",2092.38722678936,1.04265079461177e-09,6.33470470217722,6.41002255801174,40.605600039299,"anova",6.4388351596698e-10,0.169317817781972,0.026055294325385,"tweedie",2120.37846226486,1.10099345154613e-09,0.0261606360172761,6.39999236419351,0.167427870753013,0,1.5,"quantile_regression",2113.72323521202,7.68191076527813e-07,41.652873295572,32.4195315349056,59.8079771647355,8.15671994493112,"wilcoxon",2.58865335989006e-09
"lm",2101.12573242755,1.71853599136617e-06,6.47461705063087,4.93214230836827,31.9337326858991,"anova",6.21788779822698e-06,0.122774037232973,0.0264370946788123,"tweedie",2123.06416012734,1.21009796158075e-06,0.0262755826995847,5.00865875305377,0.131605427279863,0,1.5,"quantile_regression",2109.71782517601,5.37087682410675e-05,32.55411139839,22.0201015859438,47.3231474752552,7.88446059645259,"wilcoxon",1.24245953542926e-05
"lm",2147.77283440336,7.28846862440947e-12,7.27546128569932,7.28897195908664,53.0306333008828,"anova",5.13975097706819e-12,0.215628956261787,0.02934308563327,"tweedie",2150.8051487935,4.92400495780937e-12,0.0293197585568231,7.35583975763732,0.215671445676606,0,1.5,"quantile_regression",2157.99418322465,1.523467848763e-06,44.29262051976,33.8410695843414,54.7507315313116,8.93263122981093,"wilcoxon",2.49721636509902e-10
"lm",2122.23634444058,1.81222920954876e-11,6.82550269367433,7.13235808492191,48.6819293208844,"anova",1.54914930572368e-11,0.205068408240463,0.0286429924010267,"tweedie",2141.37868927813,2.31240236208972e-11,0.0279373704385569,7.09012813961553,0.198079536293275,0,1.5,"quantile_regression",2138.39579129842,5.97493309051345e-07,45.224823188665,40.0695887183232,56.5770570132867,8.76423866108249,"wilcoxon",7.22846728161293e-10
"lm",2167.84288175711,1.17802040962729e-09,7.64982166958042,6.38752144434915,48.8633999598918,"anova",2.71448200050468e-09,0.189773040771832,0.0304498639731184,"tweedie",2163.0677436921,6.74519083409298e-10,0.030470495119598,6.48991249777821,0.197750847090169,0,1.5,"quantile_regression",2170.33538168135,1.82596382458655e-09,55.46387498804,41.4807547369996,64.105152451754,8.79495553550308,"wilcoxon",2.78925743009651e-09
"lm",2121.79230015041,4.018444569262e-08,6.81792983406168,5.71342248723187,38.953713630297,"anova",3.31060856189421e-08,0.16229882121335,0.0282173500509481,"tweedie",2139.89755463695,4.24835507819391e-08,0.0277820655111978,5.70238890886007,0.158424142236278,0,1.5,"quantile_regression",2145.39249569563,4.53509965678833e-05,41.698037638646,25.5442737873619,60.2016378046394,9.99713975569377,"wilcoxon",1.71696184620562e-07
"lm",2141.17411241989,3.6830139000966e-07,7.15642398703483,5.26224340225672,37.6588449095258,"anova",4.23094600781534e-07,0.152499765607119,0.0291412641131386,"tweedie",2148.23661485865,3.28029206651952e-07,0.0290991596006266,5.2864728995379,0.153831918628041,0,1.5,"quantile_regression",2164.8224338389,0.00113332163150259,34.539836348425,21.470586659898,46.460083949965,10.4556795389723,"wilcoxon",1.90370580613107e-06
"lm",2115.92614609067,1.13562684737896e-08,6.71867187420259,5.9603775833271,40.0458212287274,"anova",7.81800877457776e-09,0.160318440075507,0.0265776927309637,"tweedie",2129.74295205869,8.4762383487003e-09,0.0272227546767556,6.01659170736304,0.163788200039746,0,1.5,"quantile_regression",2121.93129682849,2.3296680304874e-06,36.067863703403,24.1045162679136,46.698859281622,7.41361909231615,"wilcoxon",4.2115581349847e-08
