"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err","wilcoxon.model","wilcoxon.p_value"
"lm",2353.59401100703,2.41788480581236e-53,12.1710497385138,21.3806927018547,260.225474318152,"anova",7.21343741064313e-63,0.947842598567824,0.0380886277238523,"tweedie",2267.16355292513,1.05185301294771e-61,0.0388082096200399,24.4434406366696,0.948606168062875,0,1.5,"quantile_regression",2319.5379389037,0,253.230692643338,238.197925993884,269.8955953537,16.211166011769,"wilcoxon",8.73826372991677e-34
"lm",2303.88648051983,3.74675121441557e-66,10.7487700417574,26.1543523789158,281.127119312057,"anova",4.41666980695236e-71,1.01466410613262,0.0360765933762382,"tweedie",2241.67591112354,2.32178331426103e-71,0.0355477949320704,28.2394790679514,1.00385121089603,0,1.5,"quantile_regression",2303.55863274322,0,279.759280805893,265.119930409928,305.312586701641,16.5473466371249,"wilcoxon",4.0182832742287e-34
"lm",2295.16294560834,9.69082813839772e-64,10.5168895772432,25.2187693604348,265.223012637657,"anova",8.61464788934481e-72,0.942918818403489,0.0331825458094006,"tweedie",2225.91939079565,1.40384071590629e-70,0.0337589589184499,27.9205990275638,0.942570355550041,0,1.5,"quantile_regression",2284.63243663612,0,254.64680160108,241.509172875265,278.373643336576,14.9681932475714,"wilcoxon",6.1083730958419e-34
"lm",2356.73990387998,1.92804151590681e-52,12.2671491879579,21.0610353984749,258.358863285955,"anova",1.16073356615213e-61,0.933012317013563,0.0381955050696703,"tweedie",2277.21798396278,4.9451924840061e-60,0.0393861295191248,23.8156899295739,0.938007848153512,0,1.5,"quantile_regression",2337.60505075721,0,262.004158507149,237.875980591211,284.268892607367,13.9875421330338,"wilcoxon",3.62839406118087e-33
"lm",2315.66984731948,1.58634191571112e-61,11.070121810369,24.3760661092289,269.846021086772,"anova",9.01284135684741e-68,0.955029175268201,0.0356452336776837,"tweedie",2246.62073303535,9.26893831530628e-69,0.0352833822732724,27.1864083345959,0.959228437906826,0,1.5,"quantile_regression",2289.59652937135,0,274.939375063841,259.562435946438,295.843598570718,14.3566535580826,"wilcoxon",3.62839406118087e-33
"lm",2346.13507003002,2.63293813615655e-56,11.9461948739749,22.4449370364589,268.131591771635,"anova",1.44340918274131e-61,0.95439287930575,0.0391280271615208,"tweedie",2279.43311905791,9.3607495845235e-64,0.038001621295789,25.2245487570344,0.958573749221986,0,1.5,"quantile_regression",2327.66797500162,0,280.400906811555,268.143318911052,299.097535168356,15.8522440715763,"wilcoxon",2.5871482097301e-32
"lm",2311.95193737434,1.77932640306333e-60,10.9677042319484,23.9815523201586,263.022572870496,"anova",1.73261830308028e-68,0.956025357599356,0.0353066389566905,"tweedie",2238.01415214719,7.24247056997939e-68,0.035624859527955,26.830336856919,0.955826981615453,0,1.5,"quantile_regression",2307.5136926786,0,259.530774660044,243.405602724455,276.308512904382,16.5100148077792,"wilcoxon",6.1083730958419e-34
"lm",2324.41108817938,1.78053036140786e-60,11.3147009866432,23.981442377672,271.342849731772,"anova",1.4077340132539e-72,0.970216384833483,0.0337577383612457,"tweedie",2230.42990569677,2.77985327148525e-71,0.0347038227699084,28.2074722376506,0.978907117322539,0,1.5,"quantile_regression",2303.07681136757,0,258.774372721138,241.595204703334,273.721242125095,15.0039828995249,"wilcoxon",3.45906927877225e-34
"lm",2326.76113140087,1.33193199084421e-54,11.3813717346877,21.8302351891352,248.458021743208,"anova",8.69883629511123e-64,0.928382143230221,0.0367868677952718,"tweedie",2246.68468529017,3.35386143160081e-62,0.0377976319226363,24.6313665997463,0.931007328488727,0,1.5,"quantile_regression",2296.52569232484,0,244.483976974239,237.939129625324,262.967273144066,12.5801438071598,"wilcoxon",1.40663349778227e-33
"lm",2339.26463255593,7.83948422674296e-60,11.7427580381527,23.7411092612757,278.786101612508,"anova",4.7369821333357e-66,0.973532461950759,0.0372794076245066,"tweedie",2267.18063837894,5.35292703093966e-68,0.0363266788539953,26.8825283539422,0.976552974297082,0,1.5,"quantile_regression",2334.92376771379,0,291.018339200582,267.039973179981,308.642174596199,18.0700936900407,"wilcoxon",3.3208191158629e-33
