"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err","wilcoxon.model","wilcoxon.p_value"
"lm",2373.53357541259,0.00154201547852142,12.7931397541124,3.21131621420606,41.0828171229854,"anova",0.00155619027641847,0.154459499094638,0.0481400071448732,"tweedie",2396.52122766122,0.00149107138487809,0.0478197574072889,3.22146588498999,0.154049717116079,0,1.5,"quantile_regression",2385.93676542522,0.0201710095753254,34.759039280932,21.4449233823344,60.0933868138971,14.8412137800079,"wilcoxon",0.00161494797383123
"lm",2335.17030881729,0.00131612403608486,11.6231744670685,3.25895873390435,37.8794459451468,"anova",0.00050981323087352,0.162735660691034,0.046051075621304,"tweedie",2347.10240781244,0.00137244322791499,0.045040097952685,3.24640789867782,0.14621852975082,0,1.5,"quantile_regression",2353.89844650264,0.12127678930805,25.164036578471,11.2445064820722,53.5553428876285,16.1710258619889,"wilcoxon",0.00189144154492728
"lm",2373.37178629465,0.000393605410254288,12.7879663234479,3.60597438170557,46.1130789564666,"anova",0.000140455249553619,0.199394555895359,0.0513483080103174,"tweedie",2414.42460799085,0.000424448240848386,0.0500745412433876,3.58504370307776,0.179519418769115,0,1.5,"quantile_regression",2388.17545448831,0.00447957620121509,49.780877156428,31.7581668293151,69.2684664141162,17.3139854444791,"wilcoxon",0.000336209785386201
"lm",2375.54318093682,1.96447982844992e-05,12.8575743896358,4.37475805233287,56.2487770945282,"anova",6.97506285162806e-06,0.216782333741444,0.0469466619034775,"tweedie",2385.95452446149,2.25041271116106e-05,0.0480644179762555,4.34214722025431,0.208702778908739,0,1.5,"quantile_regression",2353.27676843892,9.6203330441913e-06,56.477101600833,48.7154808253999,74.403914330017,12.4310325652856,"wilcoxon",2.9369048071869e-07
"lm",2376.39857695348,7.43492819052545e-05,12.8850996051377,4.0470317375444,52.1464070434133,"anova",7.29867235230506e-05,0.197860468574878,0.0488336829310665,"tweedie",2398.18381214787,6.96569822599852e-05,0.0492431960281933,4.06354172521698,0.200101781743603,0,1.5,"quantile_regression",2386.28428271058,0.00877682654766465,44.853012375078,19.8762715436114,67.0517528598455,16.9454587006078,"wilcoxon",6.57188135021876e-05
"lm",2336.15998675222,3.29863347422541e-06,11.6519680711328,4.78760642082423,55.7850371525941,"anova",1.97399217397806e-06,0.22361767259217,0.0456206369107898,"tweedie",2347.04810808777,3.47352250977682e-06,0.0441523110950638,4.7760209731463,0.210872363802905,0,1.5,"quantile_regression",2346.65653534317,3.62873419756937e-07,70.541428552943,52.5501678573369,88.7404648582562,13.3972803107007,"wilcoxon",6.89004415465857e-06
"lm",2311.97877823914,1.9281359026977e-07,10.9684402133073,5.39669040349181,59.1932760404292,"anova",4.36177572721673e-08,0.247430244906031,0.043430462260638,"tweedie",2312.03128850575,2.26943868997956e-07,0.0428627527517769,5.36305145746498,0.229875148616378,0,1.5,"quantile_regression",2332.85374765446,0.000828108007014272,53.430453589166,23.1965679908079,80.5838962778041,15.7363541759971,"wilcoxon",4.84985713740181e-07
"lm",2301.70534269525,1.73665504151422e-08,10.6903181787863,5.87812620280557,62.8390394030524,"anova",9.90534745658666e-08,0.237494000630032,0.0429254625406453,"tweedie",2295.43384709686,1.01207001267446e-08,0.0414998216588149,5.98255520050711,0.248274973885061,0,1.5,"quantile_regression",2309.70163496917,2.43486090845124e-07,71.200033097759,59.0302235168547,85.7023344294387,13.312187436811,"wilcoxon",7.69089878817994e-08
"lm",2353.06272514348,0.00936014917293849,12.1548947028897,2.62428527566807,31.8979111960893,"anova",0.00438922595375708,0.132146026805766,0.0458540559432963,"tweedie",2363.53575162772,0.00948966630283874,0.0455505013171821,2.61943551847931,0.119316601034766,0,1.5,"quantile_regression",2359.92608420791,0.217205600681194,18.416707640012,3.61245737781994,43.7374790263691,14.8769444425366,"wilcoxon",0.00983889901182563
"lm",2383.38798182338,0.00687513727730436,13.1122261200279,2.73145560275635,35.8154635001583,"anova",0.00205327064568666,0.156759208643588,0.0501824006665003,"tweedie",2416.84951456859,0.00712314028929728,0.0499217962724409,2.71930953742173,0.135752816728873,0,1.5,"quantile_regression",2383.76219731074,0.0603630513530251,30.7871837391,19.7213511682113,56.4074827424607,16.2987465654081,"wilcoxon",0.00338041434503075
"lm",2390.08382809375,0.000955419164835535,13.3335671593376,3.35370487973139,44.7168492464968,"anova",0.00308740149370019,0.151116484207148,0.0504434319065651,"tweedie",2419.56532172914,0.000796460695566614,0.0505400680753826,3.40663156167934,0.172171391035021,0,1.5,"quantile_regression",2392.2082726369,0.206575812128966,20.672785394163,0.440567779384122,47.0872548355812,16.3138817630584,"wilcoxon",0.0143055758754555
"lm",2358.76608131854,2.87726232635103e-07,12.3294453859934,5.31381016619377,65.5163322356227,"anova",3.41908997587305e-08,0.270165630262293,0.047023154210355,"tweedie",2369.89071230486,3.46792021059092e-07,0.0478815640386017,5.27484418037187,0.252567789416121,0,1.5,"quantile_regression",2359.05166710785,0.000824618944958111,55.156946819936,38.9472786115561,79.0163817465138,16.2389891367356,"wilcoxon",9.16886497196807e-08
"lm",2365.90138897016,0.0868357290408822,12.5513547057492,1.72087447789259,21.599305976101,"anova",0.0578181203411787,0.0898903203284952,0.0471085359588987,"tweedie",2375.69177154532,0.0872151114618806,0.0487809256817862,1.71879267716222,0.0838442978470487,0,1.5,"quantile_regression",2362.85458743023,0.279583015615861,16.964741976689,-9.93098976213647,38.3063188787318,15.6468677284896,"wilcoxon",0.0799996438662064
