"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err","wilcoxon.model","wilcoxon.p_value"
"lm",2384.88557074554,3.04448908909715e-13,13.1614099454714,7.82160552900118,102.94335679895,"anova",9.49908988099275e-13,0.466564850281185,0.0611249071619514,"tweedie",2471.21161511221,4.81807440585876e-13,0.0556140083466872,7.74578677475914,0.430774250343114,0,1.5,"quantile_regression",2386.95641248732,1.49443346586509e-09,95.877187853796,81.1616951365408,123.368571327266,15.1141787235381,"wilcoxon",4.37488844977878e-13
"lm",2384.26693791804,4.16235823067583e-11,13.1410704772327,6.98769778387063,91.8258290514467,"anova",3.90146704512104e-11,0.453096238747503,0.0647371065555482,"tweedie",2500.53228279162,8.40323177033629e-11,0.0584407266054541,6.86414211179989,0.401145452536682,0,1.5,"quantile_regression",2400.23757546057,5.11547693093917e-10,106.63468858456,81.819573666171,127.268846821837,16.3041650757154,"wilcoxon",1.38474961255094e-10
"lm",2369.90924466103,8.92018517401214e-10,12.6777468963812,6.4387143000367,81.6283902339757,"anova",2.93721702188271e-09,0.367869470465471,0.0591665502116989,"tweedie",2437.93546410504,5.28878406328509e-10,0.0557242582632628,6.53427226161396,0.364117475068651,0,1.5,"quantile_regression",2378.85375227652,1.79764333640975e-07,80.047371822519,63.6314828327961,101.908808099777,14.7931511066433,"wilcoxon",3.00496943399259e-09
"lm",2430.01914562027,2.87887401644005e-09,14.7334879699538,6.22128854565374,91.6612799450007,"anova",6.3763374495833e-09,0.388576705613593,0.064005609956693,"tweedie",2551.97051562107,1.35309691248577e-09,0.0612937232602825,6.36192124068827,0.38994583993046,0,1.5,"quantile_regression",2454.13770439452,9.16416259260089e-05,86.724550984332,49.5778683480296,137.658800523897,21.715190194801,"wilcoxon",2.73684756179104e-08
"lm",2411.00019493986,6.01933968140964e-15,14.0493428066401,8.45589602347563,118.799781971114,"anova",1.06185244390402e-15,0.509592055498572,0.058375632861376,"tweedie",2480.53902695025,4.18371553235951e-15,0.0567261256980562,8.51358602333049,0.48294275090066,0,1.5,"quantile_regression",2411.51513005029,5.35571587079176e-13,124.543367176442,87.9641704309012,149.189743810446,16.1152259570711,"wilcoxon",1.5218677153451e-14
"lm",2405.02522085951,4.63965135039426e-10,13.8410412772759,6.55807818279052,90.7706308276062,"anova",1.19428546363064e-08,0.377640412711029,0.0634618938641203,"tweedie",2509.09103705916,1.75943807854485e-10,0.0591385813097237,6.73277786215644,0.398166931041446,0,1.5,"quantile_regression",2416.87999864334,2.36343737913813e-08,113.934025473775,73.0216483457452,136.564219451297,19.5830763337275,"wilcoxon",3.28532503318427e-09
"lm",2386.96962429671,2.68442635792786e-16,13.2301616004482,8.94387367164123,118.328894009808,"anova",1.39256874811419e-16,0.538269913262626,0.0595073092257685,"tweedie",2460.58741571879,2.01130556297498e-16,0.0558895936627604,8.98860490322242,0.502369475636197,0,1.5,"quantile_regression",2398.72564042834,2.12399709598188e-07,95.889706217622,83.2377579770811,115.151304145828,17.8341741635605,"wilcoxon",9.79592042864113e-15
"lm",2353.58141799836,3.34725789070935e-13,12.1706665692081,7.80597648293988,95.003937020941,"anova",3.3631111801638e-13,0.467065592139653,0.0598403323488434,"tweedie",2429.55738973509,6.90107925447435e-13,0.0544770476999483,7.68617965840768,0.418720375881448,0,1.5,"quantile_regression",2374.46747324203,3.42213990478513e-09,89.874492323278,59.9089665058914,121.948483549264,14.5220973455944,"wilcoxon",3.28683740378662e-12
"lm",2392.35238521339,2.23934067613391e-17,13.4094018971376,9.32597485279497,125.055744883727,"anova",1.10867630422503e-16,0.540551384902009,0.0595280372326629,"tweedie",2462.22915649948,5.79958038359662e-18,0.0550947137704889,9.53135713262798,0.525127393066446,0,1.5,"quantile_regression",2405.01291259707,4.03219679867561e-11,133.242997031343,100.685327041564,164.72380750279,19.0530692287387,"wilcoxon",1.98569344314676e-15
"lm",2356.51198780026,1.31371583181386e-15,12.2601614775305,8.69616345200645,106.616368156598,"anova",8.11577833210365e-16,0.496305443280844,0.0565809548688754,"tweedie",2411.21739650462,1.98702164388875e-15,0.0525878916172258,8.6311347196197,0.453893177169035,0,1.5,"quantile_regression",2362.63131372132,1.86946014224532e-11,96.518566240533,85.7007166427208,124.518923417893,13.5427053371815,"wilcoxon",3.01398815688764e-14
"lm",2370.87397709566,2.64800021405169e-16,12.7083603828932,8.94599265550548,113.68889864888,"anova",7.94904521597678e-17,0.510000826773046,0.0558485345735507,"tweedie",2426.61754603319,6.02112611215845e-16,0.0547872843947194,8.81822119891571,0.483126392680539,0,1.5,"quantile_regression",2384.16050807609,6.40809627583394e-11,123.183171737761,106.227334981081,153.398912299601,17.8217357492231,"wilcoxon",2.4654204473425e-15
"lm",2401.1926561347,1.01912985936795e-11,13.7090578643167,7.23154632206531,99.1376869776801,"anova",5.6895162523945e-12,0.460733666398135,0.062845263245781,"tweedie",2504.78740236459,9.88677469765651e-12,0.0591825740972087,7.23675305219603,0.428289673734793,0,1.5,"quantile_regression",2412.68604232524,1.7620644054972e-08,98.28625271595,78.7971092086402,128.908992083391,16.7287195596061,"wilcoxon",4.74181804635316e-11
"lm",2413.9327388161,2.43052382639095e-12,14.1527220844649,7.47540736267358,105.797362872082,"anova",3.97293254017764e-12,0.44718676170829,0.0604936276027882,"tweedie",2501.45782901153,1.30505583182745e-12,0.0570027178269288,7.57989312780349,0.43207450912246,0,1.5,"quantile_regression",2431.05964579954,1.59428119284044e-06,101.147386111717,60.3164302483349,142.432157768803,20.4396617278693,"wilcoxon",2.1765106537372e-11
"lm",2393.93065542362,1.76456141507031e-17,13.4624155646031,9.36231696310715,126.039401604882,"anova",5.31620906498466e-17,0.547822042692747,0.0595868989511514,"tweedie",2457.64696348612,2.76190193979463e-18,0.0555302112885573,9.64347587204905,0.535504252730988,0,1.5,"quantile_regression",2404.53790558886,7.65507657263242e-11,129.253715838534,101.056325578193,162.06013054507,18.7851987898873,"wilcoxon",1.87166433535942e-15
"lm",2402.67406767787,6.13662226456293e-14,13.7599238894879,8.08336687274629,111.226512939797,"anova",1.04887296718711e-13,0.524157530228174,0.0655506108981906,"tweedie",2515.40433249098,4.42993317947008e-14,0.0597419236558271,8.13612762550622,0.486067915457058,0,1.5,"quantile_regression",2419.44780555247,6.07151293685604e-07,102.807743833651,69.1083465545292,130.718234969417,19.9365505688811,"wilcoxon",1.57747069055425e-12
"lm",2426.35781561999,9.18684284232719e-12,14.5992428978488,7.24934689341287,105.8349761477,"anova",5.75401432820201e-13,0.490262286166631,0.0635353896038291,"tweedie",2528.84908298554,6.35658397295868e-12,0.0629069970799084,7.31233516155859,0.459997046655478,0,1.5,"quantile_regression",2418.13877691371,5.41182696878195e-07,91.898928218218,65.4500834433564,117.042826242551,17.7371544565834,"wilcoxon",4.80823543558668e-12
"lm",2366.35579164235,5.90953336758613e-12,12.5656212304435,7.32477272790924,92.0403196979901,"anova",5.88751810315124e-11,0.406953480831946,0.0587499675819044,"tweedie",2430.38348472137,3.24876161245746e-12,0.0534504982462265,7.42638994164435,0.396944242551656,0,1.5,"quantile_regression",2374.90893513737,2.84522871929482e-09,95.011746676542,76.4007212623237,118.648417741937,15.26662604153,"wilcoxon",3.89164784051353e-11
"lm",2401.7156559837,2.88631366936544e-11,13.7269941756039,7.05159384122527,96.7971875872235,"anova",6.96054493272144e-10,0.387979937266586,0.0598349643540365,"tweedie",2475.08935803614,6.05232988409498e-12,0.0564543352451274,7.32070174959539,0.413285350801249,0,1.5,"quantile_regression",2409.89177677287,7.88074125357419e-06,87.309363239506,56.7107978984576,109.633876208451,19.023770220009,"wilcoxon",4.60919441191421e-10
"lm",2388.45402681379,1.10991498300285e-10,13.2793500262294,6.81485084950575,90.4967898071338,"anova",7.83962661844515e-12,0.435699092690285,0.0598775157856055,"tweedie",2466.91451380578,2.45290419988127e-10,0.058873848776839,6.67321803221868,0.392878029283718,0,1.5,"quantile_regression",2389.08834313575,1.08217609984251e-07,98.139774581914,72.4695650832071,130.830247710433,17.7958085508007,"wilcoxon",1.4069173156994e-11
"lm",2410.64338279859,6.21369627140313e-09,14.0368159544115,6.07589981026218,85.2862873940938,"anova",5.50251201128698e-09,0.369796649911286,0.060632184939132,"tweedie",2492.62253193588,2.60754956008627e-09,0.0608484709449865,6.23983917407731,0.379684672685232,0,1.5,"quantile_regression",2403.01766708802,5.98433745224725e-07,78.467785551584,50.7104804551654,96.9498018103766,15.2074653988386,"wilcoxon",7.15835838208436e-09
"lm",2374.65336084817,3.49741476870086e-17,12.8290038597492,9.25783458588937,118.768795635294,"anova",2.35177752170603e-17,0.489444785393849,0.0525240079931121,"tweedie",2400.16642114451,7.90484833047323e-18,0.0511701750493774,9.48441737914969,0.485319297532447,0,1.5,"quantile_regression",2371.27834998208,1.33226762955019e-15,129.355995970884,109.782024424711,152.367918462073,14.9069682676075,"wilcoxon",1.01269222597761e-15
"lm",2401.00457628719,2.55219222022566e-11,13.7026133857497,7.07299278023447,96.9184855477515,"anova",1.34709216646253e-11,0.441197373280044,0.0614176173032422,"tweedie",2502.19303837959,2.84316327481349e-11,0.058470386952023,7.05421578006753,0.412462726303616,0,1.5,"quantile_regression",2424.76423820088,5.3025628332648e-10,115.24355055459,79.6958011549385,144.951590533094,17.6380625641063,"wilcoxon",1.8174528624115e-10
"lm",2422.02576695126,5.7378170570807e-11,14.4419844222486,6.93140001831055,100.103171088815,"anova",3.63103486672861e-11,0.453215388456569,0.0646382094620028,"tweedie",2547.29177916341,7.09478904618537e-11,0.059661741284758,6.89402526474216,0.411309551755632,0,1.5,"quantile_regression",2430.2310407015,1.68634392672118e-07,99.35241152361,69.5035131575825,134.949463881819,18.3163779417201,"wilcoxon",1.17913321312933e-10
"lm",2391.51205662147,5.05659680561223e-18,13.3812607077586,9.552110212018,127.819277056256,"anova",3.10780723662385e-18,0.54852494164963,0.0569856203788792,"tweedie",2438.53878078858,5.82224599021916e-19,0.0549508413391519,9.87734566359593,0.54276845441222,0,1.5,"quantile_regression",2392.96685435495,8.88178419700125e-16,142.398207185128,100.414988715942,166.492507173689,16.3089960977139,"wilcoxon",3.42727727361457e-16
"lm",2380.39287030237,1.05351394459426e-11,13.0144113359789,7.22584882236587,94.0401688258679,"anova",5.59167707823156e-12,0.412001837938742,0.0561754705463773,"tweedie",2438.01659320399,1.09641391494093e-11,0.0537239283490846,7.21899221733607,0.387832620636762,0,1.5,"quantile_regression",2385.94699111014,4.55169035795677e-09,89.338556922248,68.3969343100832,117.566949385943,14.56215457521,"wilcoxon",1.69296536296895e-11
"lm",2401.64462699107,8.76959621163023e-15,13.7245568555906,8.39603383239792,115.231843694207,"anova",4.90871797303987e-15,0.49184322674459,0.0579439177904078,"tweedie",2472.34481118404,6.97917073080215e-15,0.0566559012613298,8.43238301419063,0.477744259449699,0,1.5,"quantile_regression",2408.47175248057,1.17943432798029e-11,130.125387900131,99.238036283477,155.834890224934,18.056807681419,"wilcoxon",2.58756145053141e-13
"lm",2387.01679819261,1.34815798454084e-11,13.2317219881235,7.18342754766838,95.0491162325761,"anova",4.21862548560191e-12,0.41358521292575,0.0560253200528758,"tweedie",2447.52805515062,1.21533705741198e-11,0.0543167087092481,7.2012857119211,0.391150138346489,0,1.5,"quantile_regression",2400.64158808549,5.30200638948486e-09,102.308461274755,65.6288387771606,117.382520413267,16.7552231812889,"wilcoxon",1.00346147370122e-10
"lm",2376.51421888444,4.98761420108396e-09,12.8888252881656,6.11765912476304,78.8494396316227,"anova",2.50001072124294e-09,0.366574962222069,0.0586733856364486,"tweedie",2451.11104646359,5.33680513144417e-09,0.0553594638239943,6.10482201593617,0.337959673543142,0,1.5,"quantile_regression",2395.44729779425,0.000184114904171029,69.024865402566,55.416292568515,103.93634719087,18.1079641790025,"wilcoxon",1.95282487058573e-08
