"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err","wilcoxon.model","wilcoxon.p_value"
"lm",2126.10132343841,3.41385745094675e-08,6.89177340812414,5.74567689120531,39.5979032104821,"anova",2.60949892095285e-08,0.165786027399509,0.0285908581737349,"tweedie",2143.0946197748,3.76756448618258e-08,0.028064726020256,5.72618935172947,0.160703935296395,0,1.5,"quantile_regression",2142.4357898797,2.98839634744752e-05,34.317686207087,26.4259960946883,49.4213078732182,8.03036754780735,"wilcoxon",1.50403841742622e-07
"lm",2155.34607700204,4.20617284793515e-11,7.41452062776166,6.98586534861735,51.7968427300887,"anova",4.19938725252911e-11,0.207243965504523,0.029664983958513,"tweedie",2153.40073259941,2.27531429573057e-11,0.0297569169791707,7.09293397479922,0.21106384742684,0,1.5,"quantile_regression",2165.37609351981,2.14143853094484e-06,43.874512949872,28.6711026204442,60.5807278282623,8.98383642346262,"wilcoxon",4.53783135466109e-10
"lm",2149.2128594761,2.02674560085447e-14,7.30170060562599,8.26207531103093,60.3272003022821,"anova",7.79317209973374e-15,0.234209284456638,0.027832912732379,"tweedie",2152.94827032349,9.79142995174559e-15,0.0283028064299501,8.37846490257828,0.237134070317804,0,1.5,"quantile_regression",2166.71851110063,5.78985748234118e-11,68.278904781581,41.9489027881845,77.484585704652,9.85292258654839,"wilcoxon",6.04579790307933e-13
"lm",2130.95223305923,5.63817065732771e-11,6.97586067706383,6.93447932022904,48.3739616058981,"anova",1.88464290869088e-10,0.190894746358375,0.0284049219107682,"tweedie",2140.70998926172,2.92453601496766e-11,0.028046589957885,7.04930342956735,0.197708922777788,0,1.5,"quantile_regression",2159.35248065809,6.18560141352198e-06,50.168861462214,32.6034269047657,69.6478133244698,10.8001538200384,"wilcoxon",1.23612404459629e-09
"lm",2155.00630338878,7.66623505039102e-11,7.40822515577369,6.88035761266007,50.9712383468273,"anova",3.20368026813367e-11,0.201549741396832,0.028656007595543,"tweedie",2151.26225404039,4.03388372466293e-11,0.0293995397603776,6.99318262015732,0.205596350492897,0,1.5,"quantile_regression",2153.02304868153,2.08403738710672e-09,52.59314926365,32.0715478535491,61.1367390150251,8.37242568018873,"wilcoxon",2.53705096360989e-10
"lm",2127.07567895443,2.88616294494938e-09,6.90858146467985,6.22081421374446,42.9770017722919,"anova",3.72650699811379e-09,0.168459614966428,0.0272908045853104,"tweedie",2137.15760450983,1.91761748965131e-09,0.0276931509120453,6.29721480615297,0.17438971995236,0,1.5,"quantile_regression",2131.9198381768,1.60390085657269e-08,46.823334680079,36.8470457083568,61.0501425688147,7.94480187597155,"wilcoxon",5.26799176371774e-09
"lm",2088.27773226543,1.65674567073363e-12,6.26995678747663,7.53989119082907,47.274791948774,"anova",1.34316117135831e-12,0.193742018031658,0.0255762539008347,"tweedie",2116.44905116332,1.14916299635549e-12,0.0256608821566899,7.60117500102971,0.195052855953801,0,1.5,"quantile_regression",2098.99872478356,4.33211688743995e-09,47.077458307072,36.4143713296479,58.8272155409315,7.66193039710194,"wilcoxon",1.96872172796968e-11
"lm",2117.76751636494,1.0937597971692e-13,6.74967207970801,7.98939489928623,53.9257956854739,"anova",1.02796608889282e-13,0.210389211586433,0.0263002694488788,"tweedie",2140.18780072738,8.7736279679433e-14,0.0262664220632486,8.02530337935085,0.210796005747644,0,1.5,"quantile_regression",2130.53234303043,2.63217492246781e-09,54.488490975646,45.8490210087366,74.8851347813795,8.73481876690721,"wilcoxon",1.27657358914491e-12
"lm",2093.41712075158,1.61814068360474e-13,6.35103590272445,7.92540706257304,50.3345447981073,"anova",6.60930201813686e-14,0.203472990379392,0.0252093488135543,"tweedie",2123.50023001993,1.74298753126426e-13,0.0255616168547273,7.91323596662797,0.202275105859992,0,1.5,"quantile_regression",2106.0146415306,2.20106644022167e-09,51.991156553039,41.5686197009368,67.297841434563,8.29004316983498,"wilcoxon",2.8857236486951e-13
"lm",2108.52140564565,2.83868349862086e-09,6.59544095613008,6.22392531791924,41.0495319496995,"anova",2.72469371516534e-09,0.167583878084029,0.0268925576031834,"tweedie",2126.12752625121,2.21025172526199e-09,0.0270668149465089,6.27074093577531,0.169728984486128,0,1.5,"quantile_regression",2119.66306842077,4.76903046475741e-06,41.26733667083,28.6405970245544,55.6156296498105,8.77190989659272,"wilcoxon",8.39698890000733e-09
